a_id,b_id,group_id
0,0,39
1,1,10
2,2,11
3,3,24
4,4,19
5,5,22
6,6,21
7,7,15
8,8,39
9,9,1
10,10,7
11,11,23
12,12,20
13,13,28
14,14,1
15,15,45
16,16,38
17,17,34
18,18,31
19,19,31
20,20,58
21,21,44
22,22,33
23,23,39
24,24,22
25,25,30
26,26,27
27,27,47
28,28,32
29,29,35
30,30,40
31,31,22
32,32,14
33,33,23
34,34,15
35,35,46
36,36,45
37,37,17
38,38,37
39,39,38
40,40,48
41,41,6
42,42,29
43,43,39
44,44,7
45,45,49
46,46,52
47,47,4
48,48,11
49,49,0
50,50,17
51,51,38
52,52,39
53,53,21
54,54,8
55,55,3
56,56,7
57,57,27
58,58,27
59,59,57
60,60,28
61,61,12
62,62,46
63,63,33
64,64,7
65,65,30
66,66,34
67,67,30
68,68,31
69,69,11
70,70,15
71,71,13
72,72,12
73,73,25
74,74,36
75,75,56
76,76,35
77,77,14
78,78,31
79,79,2
80,80,11
81,81,48
82,82,55
83,83,43
84,84,15
85,85,57
86,86,41
87,87,40
88,88,44
89,89,8
90,90,4
91,91,42
92,92,12
93,93,9
94,94,29
95,95,3
96,96,54
97,97,11
98,98,34
99,99,47
100,100,53
101,101,16
102,102,13
103,103,30
104,104,1
105,105,3
106,106,40
107,107,51
108,108,24
109,109,44
110,110,44
111,111,12
112,112,12
113,113,18
114,114,21
115,115,15
116,116,46
117,117,25
118,118,12
119,119,22
120,120,42
121,121,33
122,122,55
123,123,15
124,124,6
125,125,35
126,126,23
127,127,49
128,128,46
129,129,50
130,130,58
131,131,24
132,132,57
133,133,18
134,134,22
135,135,29
136,136,56
137,137,28
138,138,48
139,139,31
140,140,12
141,141,54
142,142,51
143,143,18
144,144,26
145,145,57
146,146,5
147,147,44
148,148,0
149,149,7
150,150,50
151,151,35
152,152,41
153,153,43
154,154,30
155,155,33
156,156,23
157,157,8
158,158,17
159,159,15
160,160,50
161,161,27
162,162,53
163,163,6
164,164,47
165,165,55
166,166,12
167,167,42
168,168,21
169,169,36
170,170,43
171,171,33
172,172,56
173,173,3
174,174,14
175,175,39
176,176,9
177,177,51
178,178,35
179,179,28
180,180,59
181,181,56
182,182,43
183,183,14
184,184,28
185,185,10
186,186,52
187,187,53
188,188,52
189,189,12
190,190,37
191,191,30
192,192,29
193,193,28
194,194,38
195,195,58
196,196,10
197,197,21
198,198,30
199,199,11
200,200,42
201,201,16
202,202,55
203,203,20
204,204,3
205,205,19
206,206,2
207,207,1
208,208,47
209,209,42
210,210,58
211,211,52
212,212,15
213,213,34
214,214,18
215,215,48
216,216,38
