run_name,mode,n_samples,baseline,pca_dim,random_proj_dim,recall@1,recall@5,recall@10,recall@50,lift@1,lift@5,lift@10,lift@50,pos_sim_mean,n_pool
aligned_12000_metadata_only,aligned,12000,metadata_only,,,0.01525,0.065,0.1153333333333333,0.3005,183.0,156.0,138.39999999999998,72.12,0.7140883207321167,12000.0
aligned_12000_oracle_latent,aligned,12000,oracle_latent,,,1.0,1.0,1.0,1.0,12000.0,2400.0,1200.0,240.0,1.0,12000.0
aligned_12000_pca_projected,aligned,12000,pca_projected,32.0,,0.981,0.9994166666666666,1.0,1.0,11772.0,2398.6,1200.0,240.0,0.9001331329345703,12000.0
aligned_12000_random,aligned,12000,random,,,0.0001666666666666,0.0005,0.0008333333333333,0.004,2.0,1.2,1.0,0.96,0.0046037551946938,12000.0
aligned_12000_random_projection,aligned,12000,random_projection,,32.0,0.497,0.7865,0.8695833333333334,0.9800833333333332,5964.0,1887.6,1043.5,235.22,0.8068079948425293,12000.0
aligned_12000_raw_feature,aligned,12000,raw_feature,,,0.93875,0.9964166666666666,0.9995833333333334,1.0,11265.0,2391.4,1199.5,240.0,0.8182445764541626,12000.0
aligned_18000_metadata_only,aligned,18000,metadata_only,,,0.0122222222222222,0.049,0.0855555555555555,0.2497222222222222,220.0,176.4,154.0,89.9,0.7168733477592468,18000.0
aligned_18000_oracle_latent,aligned,18000,oracle_latent,,,1.0,1.0,1.0,1.0,18000.0,3600.0,1800.0,360.0,1.0,18000.0
aligned_18000_pca_projected,aligned,18000,pca_projected,32.0,,0.986,0.9997222222222222,0.9999444444444444,1.0,17748.0,3599.0,1799.9,360.0,0.9057877659797668,18000.0
aligned_18000_random,aligned,18000,random,,,0.0001111111111111,0.0003333333333333,0.0006666666666666,0.003,2.0,1.2,1.2,1.08,-0.0038678613491356,18000.0
aligned_18000_random_projection,aligned,18000,random_projection,,32.0,0.5353888888888889,0.8076111111111111,0.887,0.9816111111111112,9637.0,2907.4,1596.6,353.38,0.8254335522651672,18000.0
aligned_18000_raw_feature,aligned,18000,raw_feature,,,0.95,0.9965555555555556,0.9993888888888888,1.0,17100.0,3587.6,1798.9,360.0,0.826735258102417,18000.0
aligned_6000_metadata_only,aligned,6000,metadata_only,,,0.0291666666666666,0.1156666666666666,0.1861666666666666,0.4021666666666667,175.0,138.79999999999998,111.7,48.26,0.7277719974517822,6000.0
aligned_6000_oracle_latent,aligned,6000,oracle_latent,,,1.0,1.0,1.0,1.0,6000.0,1200.0,600.0,120.0,1.0,6000.0
aligned_6000_pca_projected,aligned,6000,pca_projected,32.0,,0.987,1.0,1.0,1.0,5922.0,1200.0,600.0,120.0,0.9038222432136536,6000.0
aligned_6000_random,aligned,6000,random,,,0.0,0.0,0.0023333333333333,0.0083333333333333,0.0,0.0,1.4,1.0,0.0009640007046982,6000.0
aligned_6000_random_projection,aligned,6000,random_projection,,32.0,0.5926666666666667,0.8545,0.9223333333333332,0.9923333333333332,3556.0,1025.4,553.4,119.08,0.8196747899055481,6000.0
aligned_6000_raw_feature,aligned,6000,raw_feature,,,0.96,0.9973333333333332,0.9995,1.0,5760.0,1196.8,599.7,120.0,0.8237464427947998,6000.0
noisy_12000_metadata_only,noisy,12000,metadata_only,,,0.0005833333333333,0.00325,0.0055833333333333,0.02075,7.000000000000001,7.799999999999999,6.699999999999999,4.98,0.186648353934288,12000.0
noisy_12000_oracle_latent,noisy,12000,oracle_latent,,,1.0,1.0,1.0,1.0,12000.0,2400.0,1200.0,240.0,1.0,12000.0
noisy_12000_pca_projected,noisy,12000,pca_projected,32.0,,0.00325,0.0125833333333333,0.0218333333333333,0.071,39.0,30.2,26.2,17.04,0.214565098285675,12000.0
noisy_12000_random,noisy,12000,random,,,0.0001666666666666,0.0005,0.0008333333333333,0.004,2.0,1.2,1.0,0.96,0.0046037551946938,12000.0
noisy_12000_random_projection,noisy,12000,random_projection,,32.0,0.0001666666666666,0.0018333333333333,0.0030833333333333,0.0175833333333333,2.0,4.4,3.7,4.22,0.1240706294775009,12000.0
